"sku","ean","price","tax","name","image","category","main_color","other_colors","Kurzbeschreibung","Detailierte Beschreibung","Lebenserwartung","description","description_long","fun_fact","scientific_name","Conservation Status","Primary Habitat","Global Home","height","width","depth","No Warning Notice","Functional Description 1"
"146341",4005086146341,599,"0.19","Weißkopfseeadler","2015_72_RGB_14634.jpg","Wilde Tiere","rot","blau, schwarz","Findet sein Bild auf den US-Wappen gut getroffen","Der Weißkopfseeadler ist ein eindrucksvoller Greifvogel. Er ist auf der zahlreichen Emblemen der USA abgebildet. Meist ernährt er sich von Fischen. Die maximale Spannweite liegt bei 2.4 Metern",40,"Der Weißkopfseeadler ist ein großer Greifvogel mit dunkelbraunem Gefieder und weißem Kopf mit einem goldgelbem Schnabel.","Der Seeadler, der Nationalvogel der Vereinigten Staaten von Amerika, hält sich bevorzugt in der Nähe von offenen Gewässern (wegen des üppigen Nahrungsvorrats) und alten Wäldern auf. Seine wichtigste Nahrungsquelle sind Fische. Er nistet vorzugsweise in hohen, alten Bäumen. Dieser große Vogel kann einen Meter lang werden, eine Flügelspannweite von 2,40 Metern haben und sieben Kilo wiegen. Interessanterweise sind die Weibchen im Allgemeinen deutlich größer als die Männchen. Adler werden meist etwa zwanzig Jahre alt und wandern weiter, wenn das Wasser gefriert. Diese Vögel gehen eine lebenslange Bindung zu ihrem Partner ein und ziehen ihre Jungen gemeinsam auf.","Der Weißkopfseeadler ist das Wappentier der USA.","Haliaeetus leucocephalus","nicht gefährdet ","Wald","Nord- und Südamerika","9,5","9,0","8,0","nicht kennzeichnungspflichtig",""
"146617",4005086146617,679,"0.19","Gorilla Männchen","2015_72_RGB_14661.jpg","Wilde Tiere","rot","blau, schwarz","Wenn ich groß bin werde ich King Kong","Gorillas sind die größten ihrer Gattung. Sie ernähren sich hauptsächlich von Blättern und Früchten. Sie verbringen einen großen Teil des Tages mit Nahrungsaufnahme",35,"#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV"
"146624",4005086146624,679,"0.19","Gorilla Weibchen mit Baby","2015_72_RGB_14662.jpg","Wilde Tiere","rot","blau, schwarz","Sollte man nicht zu nahe kommen","Gorillas sind die größten ihrer Gattung. Sie ernähren sich hauptsächlich von Blättern und Früchten. Sie verbringen einen großen Teil des Tages mit Nahrungsaufnahme",35,"#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV","#NV"
"146778",4005086146778,599,"0.19","Koalabärin mit Jungem","14677_v13_TP.jpg","Wilde Tiere","rot","blau, schwarz","Eukalyptus-Fresser","Koalas sind australische Beutelseugetiere. Sie werden etwa 80 cm groß und wiegen nicht einmal 15 kg. Koalas sind nachtaktiv.",15,"Koalas sind sehr süße Beuteltiere, die ausschließlich in Australien beheimatet sind. Sie werden bis zu 85cm groß und bis zu 14 Kilogramm schwer. Sie sind das Vorbild für Teddys und gelten als ein Wahrzeichen Australiens. ","Koalas sind Beuteltiere, die ausschließlich in Australien leben, denn nur dort finden die liebenswert aussehenden Tiere die Nahrungsbedingungen, die sie brauchen. Koalas sind abhängig von Eukalyptus-Bäumen, deren leicht giftige Blätter sie gut vertragen. Ein ausgewachsenes Koalamännchen kann bis zu 85cm groß und bis zu 14 Kilogramm schwer werden. Ursprünglich gab es überall in Australien Koalas, aufgrund starker Bejagung findet man heute nur noch an der Ostküste große Populationen. Koalas sind mit ihrem bräunlichen bis silbergrauen Fell, ihren buschigen Ohren und ihren Knopfaugen das Vorbild für viele Kuscheltiere und vor allem Teddybären. Koalas gelten neben den Kängurus als das Wahrzeichen Australiens. ","Der Beutel der Koalabärin ist nach unten geöffnet.","Phascolarctos cinereus","gefährdet","Eukalyptuswälder","Australien","4,0","3,0","5,0","nicht kennzeichnungspflichtig",""
"146815",4005086146815,679,"0.19","Flusspferd","2015_72_RGB_14681.jpg","Wilde Tiere","rot","blau, schwarz","Ist nicht so lieb wie es aussieht","Das Flusspferd - häufig auch Nilpferd genannt - ist das vermutlich gefährlichste Tier der Welt. Nach den Elefanten ist es das schwerste landbewohnende Säugetier der Welt",45,"Flusspferde leben in den Gewässern Afrikas. Sie gelten dort aufgrund ihres aggressiven Verhaltens als einer der gefährlichsten Tiere. Flusspferde leben im Wasser und gehen zum Fressen ans Land.","Obwohl sie Pflanzenfresser sind, gelten Flusspferde wegen ihres aggressiven Wesens als die wildesten Tiere Afrikas. An Land können sie eine beeindruckende Geschwindigkeit von bis zu 50 Stundenkilometern erreichen. Sie beeinflussen den Lauf von Flüssen und Sümpfen, indem sie jeden Tag dieselben Pfade benutzen und in diesen Rinnen das Wasser umleiten. Flusspferde halten sich tagsüber im Wasser auf und grasen am Abend. Innerhalb von nur fünf Stunden kann ein Flusspferd mehr als 70kg Nahrung vertilgen! Im Wasser sind die Bullen sehr darauf aus, ihr Territorium zu verteidigen, aber an Land gibt es keine Konkurrenzkämpfe. Flusspferde können zwar nicht schwimmen, aber sie kämpfen, schlafen und paaren sich im Wasser. Sie leben in Herden zu je etwa dreißig Tieren. Mit einer Länge von mehr als fünf Metern und einem Gewicht von zwei Tonnen gehören Flusspferde zu den größten Landsäugetieren. Außerdem werden sie auch ziemlich alt - häufig bis zu vierzig Jahre.","Das Flusspferd gilt als eines der gefährlichsten Tiere Afrikas.","Hippopotamus amphibius","gefährdet","Feuchtgebiete","Afrika","1,5","6,0","7,0","nicht kennzeichnungspflichtig",""
"146846",4005086146846,359,"0.19","Eichhörnchen, fressend","2015_72_RGB_14684.jpg","Wald und Wiese","rot","blau, schwarz","Vergisst manchmal, wo es seine Vorräte versteckt hat","Die meiste Zeit verbringt das Eichhörnchen mit dem Sammeln von Nahrung und Nestbaumaterial. Eichhörnchen sind ständig auf der Hut vor Fressfeinden, wie etwa Katzen.",10,"Eichhörnchen sind kleine Nagetiere mit buschigem Schwanz, die ihr Leben in den Bäumen verbringen. Dort finden sie auch ihre überwiegend pflanzliche Nahrung. ","Eichhörnchen leben allein oder zu mehreren in ihrem Nest, auch Kobel genannt, und verbringen den größten Teil des Tages mit der Nahrungssuche. Außer während eines vormittäglichen Nickerchens sind Eichhörnchen auf der Suche nach Blättern, Gras, Zweigen und anderen Objekten für den Nestbau sowie nach Nüssen und Samen als Nahrung. Mit ihren scharfen Augen und empfindlichen Schnurrhaaren sind diese Nagetiere immer auf der Hut vor Raubtieren wie beispielsweise Katzen. Da Eichhörnchen viele verschiedene Lager für ihre Wintervorräte anlegen, vergessen sie manche dieser Plätze auch wieder. Die Nahrung der Eichhörnchen variiert je nach Jahreszeit. Unter anderem fressen sie auch Insekten und Raupen.","Eichhörnchen verstecken ihre Vorräte häufig so gut, dass sie sie selbst nicht mehr finden.","Sciurus vulgaris","nicht gefährdet","Wälder","Europa","1,5","4,0","4,0","nicht kennzeichnungspflichtig",""
"146860",4005086146860,679,"0.19","Grizzlybärin","2015_72_RGB_14686.jpg","Wald und Wiese","rot","blau, schwarz","Sollte man nicht zu nahe kommen","Grizzlybären sind eine Unterart der Braunbären. Ihren Namen haben sie von ihrem gräulichen Farbton erhalten. Sie leben im westlichen Teil Nordamerikas",22,"Grizzlys sind nach den Eisbären die größten Bären der Erde. Wegen ihrer Größe und ihres häufig aggressiven Verhaltens gelten sie in ihrer Heimat Nordamerika als sehr gefährlich.","Grizzlys sind große, kräftige Tiere -- sie erreichen (aufrecht stehend) eine Höhe von 2,40 Metern und ein Gewicht von 450 Kilo. Sie haben eine Art Höcker auf dem Rücken und sehr starke Hinterbeine. Grizzlybären können Geschwindigkeiten von 55 Stundenkilometern erreichen. Sie leben als Einzelgänger, und verhalten sich häufig aggressiv. Manchmal kommen sie zum Lachsfang an Gewässern zusammen. Als Allesfresser ernähren sich diese Bären von Fischen, Pflanzen und großen Säugetieren wie Elchen, Hirschen und Schwarzbären. Sie sind außerdem dafür bekannt, Nahrung von Wölfen und Menschen zu stehlen.","Grizzlys sind die größten Bären Nordamerikas. ","Ursus arctos","nicht gefährdet","Berge und Wälder","Nordamerika","5,0","5,5","11,0","nicht kennzeichnungspflichtig",""
"146938",4005086146938,499,"0.19","Biber","2015_72_RGB_14693.jpg","Wald und Wiese","rot","blau, schwarz","Hat schon so manchen Baum auf dem Gewissen","Biber bauen ihre Bauhöhlen und Dämme aus Bäumen. Das Ziel der Staudämme besteht darin, den Wasserspiegel zu erhöhen. Dadurch sind die Höhlen besser für die Biber erreichbar. Bei Bedarf wird der Wasserstand reguliert.",24,"Biber sind große Nagetiere, die durch ihren Körperbau, Schwimmhäute und einem platten Ruderschwanz perfekt ans Leben im Wasser angepasst sind. Sie fällen Bäume und bauen Dämme und Biberburgen.","Biber sind Nagetiere, die mit ihren spindelförmigen Körpern, ihren Schwimmhäuten und ihren platten Schwänzen perfekt an ein Leben im Wasser angepasst sind. Diese Tiere können über einen Meter lang und mehr als 30 Kilogramm schwer werden. Außerdem schützt sie ihr besonders dichtes Fell vor Nässe und Kälte. Biber fällen Bäume und bauen Dämme und nehmen so massiven Einfluss auf ihre natürliche Umgebung. Der Eingang zu einer Biberburg liegt immer unter Wasser, so sind die Tiere perfekt vor Feinden geschützt, außer vor dem Menschen, der sie in Europa fast ausgerottet hat. Durch Auswilderung erholen sich die Bestände langsam wieder.","Biber haben extrem starke, rotorange Nagezähne.","Castoridae","nicht gefährdet","Flüsse, Bäche, stehende Gewässer","Europa, Asien, Nordamerika","6,5","3,5","2,5","nicht kennzeichnungspflichtig",""
"146952",4005086146952,599,"0.19","Meeresschildkröte","2015_72_RGB_14695.jpg","Meere","rot","blau, schwarz","Bereist die Weltmeere","Die Meeresschildkröte verbringt ihr gesamtes Leben im Wasser. Um auch längere Tauchstrecken durchzuhalten wird ihr Stoffwechsel beim Tauchen stark herabgesetzt.",50,"Meeresschildkröten sind perfekt an das Leben im Wasser angepasst. Ihr Körper ist stromlinienförmig und die Füße sind zu langen Paddeln geformt","Meeresschildkröten haben sich an das Leben im Wasser angepasst. Ihre Füße sind zu langen Paddeln umgeformt und ihre Körper sind stromlinienförmiger als die ihrer Verwandten an Land. So können sie sich geschickt unter Wasser fortbewegen. Ihre Fortbewegung sieht aus, als würden sie unter Wasser fliegen. Meeresschildkröten verbringen, bis auf die Zeit der Eiablage, ihr gesamtes Leben im Wasser tropischer und subtropischer Meere. Dort jagen sie nach Kopffüßern, Krebsen und Quallen.","Meeresschildkröten können ihren zu großen Kopf nicht in den schützenden Panzer zurückziehen.","Cheloniidae","gefährdet","tropische und subtropische Meere","Pazifik","5,5","8,0","3,5","nicht kennzeichnungspflichtig",""
"146983",4005086146983,599,"0.19","Manta","2015_72_RGB_14698.jpg","Meere","rot","blau, schwarz","Sieht ungeheuerlich aus, ist aber ungefährlich","Mantas kommen in tropischen und subtropischen Gewässern vor. Sie ernähren sich von kleinen Fischen und sind für den Menschen harmlos aus",75,"Mantas sind bis zu neun Meter lange Meerestiere, die mit eleganten, fliegenden Bewegungen fortbewegen. Trotz ihres gefährlichen Aussehens, sind sie für Menschen absolut harmlos.","Mantas gehören zu den Teufelsrochen, sind aber für den Menschen absolut harmlos. Sie können fünf bis neun Meter lang und bis zu drei Tonnen schwer werden. Sie kommen weltweit in tropischen und subtropischen Meeren bis zu einer Tiefe von 150 Metern vor. Mit ihrer eleganten Fortbewegungsweise sehen sie aus, als würden sie durchs Wasser fliegen.","Mantas haben nur im Unterkiefer kleine Zähne.","Manta","","tropische Meere in Küstennähe","Pazifik, Indischer Ozean, Golf von Mexiko, Atlantik","3,5","15,0","12,5","nicht kennzeichnungspflichtig",""
"147003",4005086147003,599,"0.19","Weißer Hai","2015_72_RGB_14700.jpg","Meere","rot","blau, schwarz","Verwechselt manchmal Surfer mit Robben","Der weiße Hai ist nur am Bauch weiß. Er kommt vornehmlich in Küstengewässern vor",70,"Weiße Haie sind die größten, räuberischen Haie der Weltmeere. Sie greifen ihre Beute aus der Tiefe an.","Dieser Tiefseeräuber, der bis zu neun Meter lang und mehr als zwei Tonnen wiegen kann, frisst gerne Fische, Robben, Kraken und Meeresschildkröten. Weibliche Weißhaie sind im Allgemeinen größer als Männchen. Als größte jagende Haie gehören sie auch zu den schnellsten Fischen im Ozean, die mit ihrem stromlinienförmigen Körper Geschwindigkeiten von bis zu 32 Stundenkilometern erreichen. Beim Beutefang greifen diese Haie mit ihren ca. 50 dreieckigen Zähnen präzise zu. Diese Haie können mit einem einzigen Biss 14 Kilo Nahrung verschlingen. Stumpf gewordene ältere Zähne werden durch rasiermesserscharfe neue ersetzt. Weiße Haie leben einzelgängerisch. Sie können mehr als 65 Kilometer pro Tag zurücklegen und über vierzig Jahre alt werden.","Weiße Haie verfügen über ein Revolvergebiss, in dem abgenutzte Zähne einfach nachwachsen.","Carcharodon carcharias","","","","6,0","16,0","8,0","nicht kennzeichnungspflichtig",""
"147027",4005086147027,599,"0.19","Seehund","2015_72_RGB_14702.jpg","Meere","rot","blau, schwarz","Kein Fisch, sondern ein Säugetier","Seehunde kommen nur auf der Nordhalbkugel vor. Gerne sonnen sie sich auf Sandbänken",27,"Seehunde sind eine Robbenart. Sie sind sehr gute Schwimmer und Taucher und ernähren sich fast ausschließlich von Fisch.","Der Seehund ist eine in allen nördlich-gemäßigten Meeren verbreitete Robbenart. Seehunde sind kleine, schlanke Tiere, bei denen die Männchen mit einer Länge von 170 cm und einem Gewicht von 100 Kilogramm deutlich größer als die Weibchen werden. Sie kommen auf der Nordhalbkugel im Pazifik und Atlantik vor. Erwachsene Seehunde ernähren sich ausschließlich von Fisch. Sie sind intelligente und geschickte Schwimmer. In manchen Zoos kann man sich ihre Kunststücke in Seehund-Shows ansehen.","In Aufzuchtstationen werden junge, mutterlose Robben aufgezogen. Man nennt sie ""Heuler"".","Phoca vitulina","","","","9,5","6,0","4,0","nicht kennzeichnungspflichtig",""
"147034",4005086147034,359,"0.19","Seehundjunges","2015_72_RGB_14703.jpg","Meere","rot","blau, schwarz","Ein Heuler","Seehundjunge sehen niedlich aus. Jedes Jahr werden junge Seehundjunge gerettet und von Auffangstationen augezogen und anschließend ausgewildert",27,"Seehunde sind eine Robbenart. Sie sind sehr gute Schwimmer und Taucher und ernähren sich fast ausschließlich von Fisch.","Der Seehund ist eine in allen nördlich-gemäßigten Meeren verbreitete Robbenart. Es sind kleine, schlanke Tiere, bei denen die Männchen mit einer Länge von 170cm und einem Gewicht von 100Kilogramm deutlich größer als die Weibchen werden. Sie kommen auf der Nordhalbkugel im Pazifik und Atlantik vor. Erwachsene Seehunde ernähren sich ausschließlich von Fisch. Sie sind intelligente und geschickte Schwimmer. In manchen Zoos kann man sich ihre Kunststücke in Seehund-Shows ansehen.","In Aufzuchtstationen werden junge, mutterlose Robben aufgezogen. Man nennt sie ""Heuler"".","Phoca vitulina","","","","5,5","3,5","2,0","nicht kennzeichnungspflichtig",""
